PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRet,DlyRetx
13407,30303M10,FB,54084,2012-10-23,19.500000,0.009265,0.009265
13407,30303M10,FB,54084,2012-10-24,23.229900,0.191277,0.191277
13407,30303M10,FB,54084,2012-10-25,22.560000,-0.028838,-0.028838
13407,30303M10,FB,54084,2012-10-26,21.942500,-0.027371,-0.027371
13407,30303M10,FB,54084,2012-10-31,21.110000,-0.037940,-0.037940
13407,30303M10,FB,54084,2012-11-01,21.210000,0.004737,0.004737
13407,30303M10,FB,54084,2012-11-02,21.180000,-0.001414,-0.001414
13407,30303M10,FB,54084,2012-11-05,21.250000,0.003305,0.003305
13407,30303M10,FB,54084,2012-11-06,21.171200,-0.003708,-0.003708
13407,30303M10,FB,54084,2012-11-07,20.470000,-0.033120,-0.033120
13407,30303M10,FB,54084,2012-11-08,19.990000,-0.023449,-0.023449
13407,30303M10,FB,54084,2012-11-09,19.210000,-0.039020,-0.039020
13407,30303M10,FB,54084,2012-11-12,20.070000,0.044768,0.044768
13407,30303M10,FB,54084,2012-11-13,19.860000,-0.010463,-0.010463
13407,30303M10,FB,54084,2012-11-14,22.360000,0.125881,0.125881
13407,30303M10,FB,54084,2012-11-15,22.170000,-0.008497,-0.008497
13407,30303M10,FB,54084,2012-11-16,23.560700,0.062729,0.062729
13407,30303M10,FB,54084,2012-11-19,22.920000,-0.027194,-0.027194
13407,30303M10,FB,54084,2012-11-20,23.100000,0.007853,0.007853
13407,30303M10,FB,54084,2012-11-21,24.320000,0.052814,0.052814
13407,30303M10,FB,54084,2012-11-23,23.998000,-0.013240,-0.013240
13407,30303M10,FB,54084,2012-11-26,25.940000,0.080923,0.080923
13407,30303M10,FB,54084,2012-11-27,26.150000,0.008096,0.008096
13407,30303M10,FB,54084,2012-11-28,26.360000,0.008031,0.008031
13407,30303M10,FB,54084,2012-11-29,27.320000,0.036419,0.036419
13407,30303M10,FB,54084,2012-11-30,28.000000,0.024890,0.024890
13407,30303M10,FB,54084,2012-12-03,27.040000,-0.034286,-0.034286
13407,30303M10,FB,54084,2012-12-04,27.460000,0.015533,0.015533
13407,30303M10,FB,54084,2012-12-05,27.710000,0.009104,0.009104
13407,30303M10,FB,54084,2012-12-06,26.970000,-0.026705,-0.026705
13407,30303M10,FB,54084,2012-12-07,27.485000,0.019095,0.019095
13407,30303M10,FB,54084,2012-12-10,27.840000,0.012916,0.012916
13407,30303M10,FB,54084,2012-12-11,27.980000,0.005029,0.005029
13407,30303M10,FB,54084,2012-12-12,27.580100,-0.014292,-0.014292
13407,30303M10,FB,54084,2012-12-13,28.240000,0.023927,0.023927
13407,30303M10,FB,54084,2012-12-14,26.812000,-0.050567,-0.050567
13407,30303M10,FB,54084,2012-12-17,26.750000,-0.002312,-0.002312
13407,30303M10,FB,54084,2012-12-18,27.710000,0.035888,0.035888
13407,30303M10,FB,54084,2012-12-19,27.410000,-0.010826,-0.010826
13407,30303M10,FB,54084,2012-12-20,27.360000,-0.001824,-0.001824
13407,30303M10,FB,54084,2012-12-21,26.260000,-0.040205,-0.040205
13407,30303M10,FB,54084,2012-12-24,26.930000,0.025514,0.025514
13407,30303M10,FB,54084,2012-12-26,26.510000,-0.015596,-0.015596
13407,30303M10,FB,54084,2012-12-27,26.050000,-0.017352,-0.017352
13407,30303M10,FB,54084,2012-12-28,25.911200,-0.005328,-0.005328
13407,30303M10,FB,54084,2012-12-31,26.619700,0.027343,0.027343
13407,30303M10,FB,54084,2013-01-02,28.000000,0.051853,0.051853
13407,30303M10,FB,54084,2013-01-03,27.770000,-0.008214,-0.008214
13407,30303M10,FB,54084,2013-01-04,28.760000,0.035650,0.035650
13407,30303M10,FB,54084,2013-01-07,29.421300,0.022994,0.022994
13407,30303M10,FB,54084,2013-01-08,29.060700,-0.012256,-0.012256
13407,30303M10,FB,54084,2013-01-09,30.590000,0.052624,0.052624
13407,30303M10,FB,54084,2013-01-10,31.300000,0.023210,0.023210
13407,30303M10,FB,54084,2013-01-11,31.720000,0.013419,0.013419
13407,30303M10,FB,54084,2013-01-14,30.947500,-0.024354,-0.024354
13407,30303M10,FB,54084,2013-01-15,30.100000,-0.027385,-0.027385
13407,30303M10,FB,54084,2013-01-16,29.850000,-0.008306,-0.008306
13407,30303M10,FB,54084,2013-01-17,30.140000,0.009715,0.009715
13407,30303M10,FB,54084,2013-01-18,29.660000,-0.015926,-0.015926
13407,30303M10,FB,54084,2013-01-22,30.729000,0.036042,0.036042
13407,30303M10,FB,54084,2013-01-23,30.820000,0.002961,0.002961
13407,30303M10,FB,54084,2013-01-24,31.080000,0.008436,0.008436
13407,30303M10,FB,54084,2013-01-25,31.540000,0.014801,0.014801
13407,30303M10,FB,54084,2013-01-28,32.469000,0.029455,0.029455
13407,30303M10,FB,54084,2013-01-29,30.790000,-0.051711,-0.051711
13407,30303M10,FB,54084,2013-01-30,31.240000,0.014615,0.014615
13407,30303M10,FB,54084,2013-01-31,30.981000,-0.008291,-0.008291
13407,30303M10,FB,54084,2013-02-01,29.730000,-0.040380,-0.040380
13407,30303M10,FB,54084,2013-02-04,28.109000,-0.054524,-0.054524
13407,30303M10,FB,54084,2013-02-05,28.640000,0.018891,0.018891
13407,30303M10,FB,54084,2013-02-06,29.050000,0.014316,0.014316
13407,30303M10,FB,54084,2013-02-07,28.650000,-0.013769,-0.013769
13407,30303M10,FB,54084,2013-02-08,28.545000,-0.003665,-0.003665
13407,30303M10,FB,54084,2013-02-11,28.260000,-0.009984,-0.009984
13407,30303M10,FB,54084,2013-02-12,27.370000,-0.031493,-0.031493
13407,30303M10,FB,54084,2013-02-13,27.907500,0.019638,0.019638
13407,30303M10,FB,54084,2013-02-14,28.500000,0.021231,0.021231
13407,30303M10,FB,54084,2013-02-15,28.320000,-0.006316,-0.006316
13407,30303M10,FB,54084,2013-02-19,28.930000,0.021540,0.021540
13407,30303M10,FB,54084,2013-02-20,28.462000,-0.016177,-0.016177
13407,30303M10,FB,54084,2013-02-21,27.283000,-0.041424,-0.041424
13407,30303M10,FB,54084,2013-02-22,27.130000,-0.005608,-0.005608
13407,30303M10,FB,54084,2013-02-25,27.270000,0.005160,0.005160
13407,30303M10,FB,54084,2013-02-26,27.390000,0.004400,0.004400
13407,30303M10,FB,54084,2013-02-27,26.870000,-0.018985,-0.018985
13407,30303M10,FB,54084,2013-02-28,27.250000,0.014142,0.014142
13407,30303M10,FB,54084,2013-03-01,27.780000,0.019450,0.019450
13407,30303M10,FB,54084,2013-03-04,27.720000,-0.002160,-0.002160
13407,30303M10,FB,54084,2013-03-05,27.520000,-0.007215,-0.007215
13407,30303M10,FB,54084,2013-03-06,27.452500,-0.002453,-0.002453
13407,30303M10,FB,54084,2013-03-07,28.578000,0.040998,0.040998
13407,30303M10,FB,54084,2013-03-08,27.960000,-0.021625,-0.021625
13407,30303M10,FB,54084,2013-03-11,28.140000,0.006438,0.006438
13407,30303M10,FB,54084,2013-03-12,27.830000,-0.011016,-0.011016
13407,30303M10,FB,54084,2013-03-13,27.080000,-0.026949,-0.026949
13407,30303M10,FB,54084,2013-03-14,27.040000,-0.001477,-0.001477
13407,30303M10,FB,54084,2013-03-15,26.645000,-0.014608,-0.014608
13407,30303M10,FB,54084,2013-03-18,26.490000,-0.005817,-0.005817
13407,30303M10,FB,54084,2013-03-19,26.550000,0.002265,0.002265
13407,30303M10,FB,54084,2013-03-20,25.860000,-0.025989,-0.025989
